text,category
trailer late ah parthavanga like podunga,Positive
move pathutu vanthu trailer pakurvnga yaru,Positive
puthupetai dhanush  ah yarellam pathinga,Positive
dhanush oda character puthu sa erukay  mass ta,Positive
vera level ippa pesungada mokka nu thalaivaaaaaa,Positive
thala mass  you bgm     vera level,Positive
ivara pathta death vadi madiri irukku,Negative
 s kids reference  maadila irunthu kudicha shakthiman kaapathvaaru,Positive
aiyoo thala mass pannita thala,Positive
enpt ku kaathu kadanthathellam oru nimishathula poiruchu,Mixed_feelings
when pandey gets up  vandumurugan  i am speaking no cross speaking sittt downnn,Negative
remake of malayalam mohanlal movie devadoodhan,Negative
tharamaana sirappaana sambavam inimeal ta paaka pora,Positive
viswasam trailer paathutu inka vanthavanga like panuga,unknown_state
maran  kattu kattitamnue verithanam thalivaa a,Positive
ella trailer la last la oru mass dialouge vaichikuringaaa paaaa,Positive
eppa saamy thala padathula vera director perapakurathu evalo periya santhosama iruku,Positive
en thalaivan vijaysethubathi kaga matume na padam papan matha entha p illa,Mixed_feelings
kanithan  mugamoodi neenga nambalainalum ithan nesam,Positive
enakku iru mugan trailer gnabagam than varuthu,Positive
are you expecting happy deepavali force dialogue in  movie,Positive
sakthimaan fans like sivakarthikeyen fans comment,Mixed_feelings
rajini and akshay fans hit like,Mixed_feelings
 hour  million likes,Positive
raww vana padama iruku  all the best,Positive
thalaiva full support from kerala mohanlal fans,unknown_state
en da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae,Negative
thalaiva ungala screen pakkum pothey ippadiiii erukinga na  nerla partha yappidiiii erupinga oru murai tharisanam kedaikumaaaa,Positive
rajini ah vida akshay mass ah irukane,Negative
thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive
marana mass marana style marna gethu mass trailer rajinified,Positive
paruthiveeran karthi back  lokesh kangaraj screenplay,unknown_state
diwali annante aniyan ullaltha  step back bigil,Mixed_feelings
dialogue pundaiye puriyala otha theatre la nacham sound seri pannungada,Negative
poda mokka moonji unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative
dei kelthu kuthi ajith ivanya yaru nadika sona   ,Negative
yaaru ivanaa indha kosu asoorana dei ennada unga rasana,Negative
namma kitte kaadu irunthaeduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu  superb lines,Positive
ethukkuda ivlo actors hypothalaivar padamna avar matumtha  irukanum,Positive
thlaiavaa thalaivaa thaliava thalaivaa thalaivaa,Positive
epdi like pottavan eallarum seathupogada,Mixed_feelings
                                                true in the age information abundance and mass distractions,Positive
supper dhanush anna mass waiting asuran,Positive
vera lvl thalaiva you r great,Positive
mobile main mera phek dunga iphone x barna aisa problem hoga,Negative
ellam avan sayal movie mathiriya irukku ,Mixed_feelings
boss you looking so handsome nd young kekaa,Positive
pattaya kelapitey siva  awesome,Mixed_feelings
dahaaaaaaa chitii come back i am waiting get ready to ,Mixed_feelings
boni kapoor sir ini entha update illama ethum release panathinga sir  intha chinna pasanga tholla thanga mudiyala,Mixed_feelings
looks thrilling thala get up super as lawyer  dai pandey neeya da,Positive
neenga enna vena kathukonga aana hollywood padathukku dubbing mattum kathukathinga,Negative
ena da nadakuthu inga epaaa sathiyamaa edir pakatha trailer totally unimaginable trailer thalivar,Positive
  thala da    by thalapathy fan,Positive
sun picture best or vijay tv best sp best na dislike pannuga vijay tv best na like pannuga,Positive
hey makkalay yaaru darbar motion poster announcementku apram vantheenga,unknown_state
last dialoge thala fans ungalukkuta iam vijay fan trailer super,Positive
hollywood range la iruku padam kandipa blockbuster hit semma story,Mixed_feelings
but ore oru varutham ennana sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive
semmma style rajini sir is back,Positive
my dear thala ahhhhhhhhhhhhhh semma gethu,Positive
idduke   va tarlam kolla mass,Mixed_feelings
movie savadi vera level poothalaivar thalaivar thaamass,Positive
super thalaiva semma mass intha movie blockbuster thaan fdfs poravanga like pannunga,Positive
k views k likes  fraud,Mixed_feelings
 minute trailor vida thil irukkaabollywood la panrangatamila mudiyuma,Positive
dai ranjit nee idha parthu film eduka kathuko,Positive
trailer fast ah podu ana background la main bgm illaye fyt ku varadhinga da unmaiya tha slura,Positive
superb  vivek mervin pinnitinga ponga ungalukagave padam pakanum,Positive
viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu,Positive
 thaa enna lookyou daa saami  that bgm lit,Positive
guyzz m likes vara varaikum vitraadheenga,Positive
padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,unknown_state
velraj sir thalaivana masss a kamchirukaru vera level you,Positive
you kaga paakuradha illa sk kaaga verukuradhane therila but mithran  you kaaga kandipa paakanum,Mixed_feelings
iam vijay fan kerala and iam waiting super stars petta,Positive
oh my god  it is rajini for you,Mixed_feelings
 thala looka apdiyae vechurkaru pa  without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive
dai yaaru da antha k apadi enna da enga thala mela ungaluku gaandu,Positive
love you thalaivaaaaaaa avangala aarani anastasias alabama and anastasias,Mixed_feelings
iam sk fan aanaa trailer semma,Positive
wow padam tharu mara iruka poguthu  this pongal petta diwali,Positive
sema mass marana mass tha i love rajini,Positive
k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive
damni am a proud chiyaan vikram fan,Positive
enna panna porom sweet sapda porom,Positive
entha kannada naiyai ennum tamilnattil erunthu anupalaiya,Negative
vaa thalaiva via diwali mass you are movie bikil  out,Positive
veralevel performer dhanush sir,Positive
no means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive
super akshay sir i love you sir,Positive
looks like he will set screen on fire,Positive
ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,unknown_state
it is pink with ajith kumar ka chutiyapa,Positive
rmba sandhosama irukku thala ipdi suspense movie la nadichadhuand rlz kaga waiting,Positive
villaina mass aa kattallayea  so sad  villain mass aa iruntha thaa movie mass aa irukkum,Positive
trailer vera level athana daaamai kunjugala,Positive
yenda padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga,Mixed_feelings
nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa mattum pudungavey mudiyathu chidambaram,Positive
 to  marana massssss,Positive
thalapathy  villan ku oru like podu,unknown_state
no trendingyellarum idha thana ketutu irundhinga,Positive
dhanush fans hit like here,Positive
eadicha copy daithu ellam avan seyal movie,Negative
like so much thala from ap pawankalyan anna fans,Positive
yellaam super but nawazudin voice mattum nalla illa,Mixed_feelings
wow i love you thalaivaaaaaa,Positive
thala kola waiting eppo yaa release panna poringa,Positive
vaalum theivam ajith kumar manitha kadavul ajith kumar sokka thangam ajith kumar en uyirai kaakum ajith kumar ulaga uthaman ajith kumar,Positive
ethukku ethellam vvsrajini murugan mari comedy movie pathuttu entha movie pakka mudiuma,Mixed_feelings
comment box pakka vantha like podunga,Positive
thalaivar varuvaru sure aa adippaaru,Mixed_feelings
who else are here after sarkar movie,Mixed_feelings
dialogues ah illama mass scenes la pesirukalaam,Positive
pongal namalukku super collection ma ,Positive
ennada pittalatama irruku views k but likes k va,Mixed_feelings
thalaivaaaa ippa enna panna porom sweet sapda porom,Positive
i am thalapathi fanbut thalapathi ku apram karthi anna va than pidikumintha diwali enaku double treat,unknown_state
yuvan bgm kola mass thalaiva marana waiting for valimai,Positive
thalaivar ku ennum vaisae agala sema,Positive
kaithi blockbuster movie  bigil abhi tak hit bhi nhi huvi,Positive
ippa enna panna poram sweet sapada porom super awesome,Positive
thala  you  yuvan shankar raja  mass,Positive
shakthiman fans kill the like button,Positive
 antman ah pottu hope pottu polakra adhe smack,Mixed_feelings
screen presence la ungala adichukka vera evanum illa thala,Mixed_feelings
vera level movie  vasool nkp,Positive
vera level acting thalaivar masss pakka mass sry petta masssss sss,Mixed_feelings
sahoo  million nkp innu  million tha    ,Positive
senseless movie   just video game,Mixed_feelings
thala fans saarbaaga motion poster vendum adhe,Positive
rajinikanth sir is my favorite hero says arr,Negative
kadaram kondan vs saaho i am waiting,Negative
   sec   wowwwww,Positive
last dialogue suit for all fans,Positive
thala fans hit like me,Positive
edho sadhi nadakudhu pa inum trending la varala,Negative
kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,Positive
shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,Mixed_feelings
dai bahubali       kelambu kelambu,Mixed_feelings
pink bollywood  but like ajit kumar,Positive
comedy ya erukku ithukku billa pandi ok,Negative
vs anna semma epavum pola neega vera level,Positive
okay chiyan vikram in kadaram kondan best wishes,Positive
 enna paarva da idhu goosebumps guaranteed,Positive
marana marana marana sirapana tharamaana padam     ,Positive
thala look sema mass nu soldravanga mattum oru like podunga,Positive
vanthathu vanthuteenga thala fans ellarum like potutu ponga,Positive
enada pandey news ah vittutu cinema la nadikuran,Positive
ena da bgm ithu yuvannnnnnnnnn rocksssssss,Positive
st like vijay fanss hit likes,Positive
ex police cop become a prisoner,Mixed_feelings
trailer late ah parthu miss pannavanga ippo happy ah,Positive
nazawuddin siddiqui in pettai  tharamana mudivu,Positive
oru pakkam bigil bigil anil kunjugalin alaparaikal,Negative
super  yaru nu keta chinna kulandhai um solum maestro of style,Positive
dhanush indha padathula ethana pera vetunarunu yarachum therinja solunga,Positive
vijay sethupathi fans hit like here,Positive
aiyo enaku ipave thalaya padathula pakanumnu eruku,Positive
thalaaaa   you again rock,Positive
petta telugu la illea  missing in tollywood,Positive
story match kaakapoinaa konni konni shots sukumar rangasthalam laaga ne undhi choodataniki,unknown_state
telugu  thala fans hit likes,Positive
ennada m views ku th day laye ivlo mukkudhu nu solra bot anil p pasangala no bots no visay,Negative
akshay kumar as shiva kumar,Positive
siripu vantha oru like podunga,Mixed_feelings
teaser la iruntha yedho onnu trailer la missing aana ithuvum nalla than irukku,Negative
   maran waiting la panavendam poi saavunga ajith fans,Positive
dhanush fans sarbaga padam vetri adiya valthukal,Positive
sweet sappuda porom  sweet saputtu apdiye ethavthu karama viswasam sappuduvom,Positive
pazhaya rajinikanth ah paatha feeling pa,Positive
maranam mass uh maranam petta athukku avar thaa poranthu varanum thalaivar,Mixed_feelings
neraya neraya neraya neraya neraya what a  performance voice vera level,Positive
ithan diwali fightsemme kartikstory value va hero value r nu,Positive
dhanush fans oru like potutu ponga,Positive
pink  but like for ajith,Positive
beginning of satyayuga end of kaliyuga,Positive
dhanush sir ku ella get up um set aagudhu,Positive
inimal sun networkla petta promo poda start panniduvaanga,Positive
neraya neraya neraya neraya neraya what a powerful voice,Positive
thala dye adikkam irukanaalathan naama nimathiya irukkamudiythuthala takkarudoi,Positive
krish movie mask mathiri erukku pa,Positive
chiyaan vikram sir vera ,Positive
ethe maari ennamo padam pathaa maatiye eruke    ,Positive
thala thanta thalaiya minja evanta,Positive
 late a vanthalu latest  a vanthurukku,Positive
thatha ku jodiya paatis padam nalla irrukum pola,Mixed_feelings
 padappavali now  petta viswasam,Mixed_feelings
bigil satham ketta ella kaithiyum amaithithan,Negative
confirm m likes varumnu soldravange like podunge machanzz,Positive
happy new year  thalaivar padam mass kata pothu,Positive
thala vera level maas  you bgm ultimate,Positive
yenda thala enga thala ya vada dislike panni irukkenga,Mixed_feelings
dai youtube trending la podu da,Negative
sam cs vera level ya un bgm,Positive
thala vera level n yuvan bgm semmeee,Positive
thala endru sollada thalai nimirndhu nillada  vanthudaruda en thala ippa vangada kena,Positive
are you a virgin girls  kani kazhiyama irukingala ,Mixed_feelings
thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa,Positive
all the best karthi and lokesh kanakaraaj,Negative
romba naaluku aparam thalaivar  sema massa pakurom get rajinified ,Positive
indha aala ennadhan veruthaalum on screenla paakka solla indha aalu style la  vilundarom,Mixed_feelings
enna mari veetuku theriyama ippa trailer parkuravanga yaravadhu irukeengala,Positive
mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,Negative
elam girls um trailer ah patha maari movie ya kandipaa parungaa,Positive
ena da  spartan s bgm la varuthu,Mixed_feelings
i am kamal sir fanzz but i like   trailer waiting fr  movie,Mixed_feelings
vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam,Mixed_feelings
viswasam teaser vartum nama side la irnthu oru sambavam panuvom,Positive
intha padatha pathe aakanum thalaivaa aaaaaa,Positive
kris s movie pola irukkunu yaarukkavadu feel aahircha,Positive
viswasam trailer k like   m  like thala fans like tha trailer,Negative
ada dei nama sambatha da dei,Positive
nvp voda recorda break pannanum solravangalike pannunga,Mixed_feelings
movie pathutan semma mass a irukku music la vera leval,Positive
marana mass thala i am waiting       ,Positive
intha padathula gethu mass kaatra thalaya nadikala intha padathula intha naatoda indraiya unmaiya solra ajith kumar ah nadichirkaaru stopwomenabuse,Positive
vayase aagala pa ena effort chanceless  ,Positive
thala yada dialogue delivery sema mass vera level  goosebumps overloaded,Positive
gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu,Positive
vaera level thala summa na podathiga mokka seenu eppa naerkonda parvai is coming soon,Positive
vayasanalum unga style azhagum innum marala thalaiva roxkzzzzzz,Positive
matha actor la vera level na niii top level thalaivaaa,Positive
enna panna porom sweet sapda porom petta paraak,Positive
dislike pota ealarum  lusu p  ,Negative
vena padama release pannathinga pakka mudiyala,Positive
thala bloods ellaarum oru like podunga,Positive
real rajnikant or dupe  amazingly young ,Mixed_feelings
deepavali ku vera level padam irukku  pakka  kaithi deepavali,Positive
aiyo thala marana mass thala love you so much thala,Positive
thla da  you bgm,Positive
intha padampothu thalaya asaikka kooda mudiyathu,Positive
nkp  million views varum solravaga thala fans hit like button million like,Positive
inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga,Mixed_feelings
super super super super star rajini sri good,Positive
mind blowing  ipo paarunga therikka vitudalam,Negative
idhupola vetradhu kuthradhulam pls kaamikadhinga screen la padatha paathuthaan paadhi samudhayam kedudhu all the best for the team,Mixed_feelings
semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala,Positive
king of kollywood one  only thala thala thala thala thala thala thala,Positive
marana masss thalaiva hollywood deractor la vaya polaka poranugga,Mixed_feelings
thala mass but court room perusa irundhurkalam,Positive
idhu  padam da ommla enna padam da i saw  shows back to back vera level,Negative
pakkaaa message polathalaivaaa we are waiting,Positive
thalapathy kku evlo massss irukka pootho thalapathy  lokeshkanagaraj,unknown_state
tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry,Positive
nammaku tevaiyanada namma taan adichi vaanganum padipa mattum nammakitta irundu edutuka mudiyathu,Positive
ennayyanamma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth,Positive
last dailog          inga like podunga,Positive
super star is super star vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv vv nice trailer i really love it,Negative
st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam,Negative
naanum thalavar rasigan than enakku akshaya kumar performance than pudichi irukku thalavara dummy ah aakitanagaama vai illa ya,Negative
vera level sk bro keep going huge,Positive
oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa,Positive
last dialague semma rasikanuku advice pannitaru thala super thala,Positive
super pa thalapadhy rasigar saarba vaalthukal,Positive
thala ena thala ketta mass ah irukiyae,Positive
thambi naanga  hourslaya m neenga yaaru da komali,Mixed_feelings
appo kabalieee na nerupuda  eppo robot na chitti o version,Positive
waiting m likes and m views,Positive
vayasu analum unga style um alagum innum ungala vitu pogalaold time rajni ah pakaramariye iruku,Positive
kaithi thane daw intha diwali ku,unknown_state
ada aamaigala m like kooda varlaya aamai ajith,Mixed_feelings
realy trailer marana massa iruku iam waiting petta,Negative
you are line line line ithu mari neriya  neriya neriya neriya padatthula irukum pola iam waiting,Positive
simion sir enga irrukinga  sekiram vanga,Positive
wow   mill ns views,Positive
back to back super blockbuster movies first      then petta rajnikanth is just amaaaaaaazing,Positive
      hatters dislike pannunalum asuran movie kku award confirm bypure dhanush anna fan,Positive
dislike pannravan ratham kakkai saavan  ,Positive
   i am waiting for nerkoonda paarvai,Positive
vijay vera vera vera vetakaran taan da venumm ajith nerya nerya nerya nerya nerya,Positive
thala pathi thappaa cmnt panura kuchikari movanlaam odirunga,Negative
dislike panavan oruthanuku poruthuruka maatan poogada ,Positive
dei kadisiya style dance ah parunga da ayyo sema thalaiva cuteness charisma fight sequel banged comeback,Positive
darbat k comment varanum k like varanum view  million varanum,unknown_state
shaktiman madri next comedy punda aga poren sakadai kelavan,Negative
thalaya screen la parka yarellam marana waiting comment pannunga thala rathangale        ,Positive
vada chennai  jaygiromo illayo motha sanda seiyanum asuran  namaku theva yanatha nambha tha adichi vanganum,Positive
wow trailer marana waiting diwali ku,unknown_state
entha trailer best nu pakalam  like  asuran   cmnt kaapan,Positive
comments parka vandha padika vandha nanba nanbigal like pannitu pooga,Positive
thala thaan eppavume ennudaya role maadal,Positive
 it is superstar rajini not rajni spelling mistake ,Positive
remake of pink movie ah apdiye eduthurukeenga oru dialogue kooda maarama but fight scene extra va,Positive
neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda,Negative
eduthu vainga da adutha oscar ah asuran ku,Positive
i miss you ishwarya rai madam,Mixed_feelings
mass  dhanush  manju  vetri,Positive
thalaivaaaaaaa  ungaluku vayase aaakathu nee mattum thaa thlaiva mass massuke boss,Positive
thala o ku aavathu atleast pre announcement pannunga,Positive
aptilam nadakkathu nadakka kudathu fire on eyes thala,Positive
amam eppa puthu trailer poduvingo   mgr kala thu padama  re release panna poran gala ,Negative
oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringasema thalalove from thalapathy fanzzzzz,Positive
entha padathalaum vivazya pirachana solraga pola oh my god,unknown_state
kaithi ye evlo mass ah iruku na  thalapathy ,Positive
adra sakka thalaivaa  marana mass adi thool petta pongal petta parrakk,Mixed_feelings
maranam mass uh maranam tough tharanum athukku avan thaaan poranthu varanum,Positive
 for some thala  thalapathy fans,Positive
please make thalapathy  like kaithi visuals,Positive
nothing to say just goosebumps thalarasigai,Positive
mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga,Positive
 to  yenna swag pa thala thala pola varuma  fdfs from karnataka,Positive
enada tamil cinema eduka sonna hollywood cinema eduthu vachirkinga,Positive
saavaratha irunthalum sanda pottu saaganum bayanthu kaalla vizhunthu saaga kudathu tharam,Positive
sethu anna voice  thalaivar entry   kolla gaandu la irukan epo varum oh nu,Positive
marana mass thalaiva   ungalukku innu vayasu agale,Positive
intha padam kantippa win pannum but rajinikaga illa shankar kaga  avaroda talent kaga ,Positive
oru oru scenum goosebumps ahh iruku petta parak  like podunga trailer pathu goosebumps anuvanga,Positive
vijaya vallu movies teesthunnaraa inkaa wow,unknown_state
nerkondapaarvai superb thala pesura yella dialogues kum avar kan simtave ella vera level acting,Positive
petta movie atta flop old man sotta boy,Negative
ena da bomma padam eduthu vachirukeenga,Mixed_feelings
semma vera level  like hits,Positive
pink movie in hindi final dialouge superrrr,Positive
chinna pulla thanamaala irukku graphics xd xd,Positive
rajini sir telugu fans hit a like here  rajinified,Positive
o my god superstar rajinikanth navajuddin siddiki vijay setupati  what else needed,Positive
marvel paruppu thannidc upputamil masala  kick kadugu  krissh vengayam thakkali  hero sambar,Positive
bayama irukku i except more but i feel sad ,Positive
sethupathi kaga wait panravangalam kai thoongunga,unknown_state
tamil movie o  king in india   wonder  super star an  sankars mass movie,Positive
st day st show poravanga like potuttu ponga,Positive
sprb shradha srinath done a good job,Positive
ennoda phone ah yaaralum control panna mudiyadhu akshay kumar ah tension aayiduvan idhu hang aguradha paathu,Mixed_feelings
rajini kanth fans hit like here,Positive
kola gaadula iruka thalaivaaaaaaaa waiting layea veri aaguthey,Negative
